HostCorrectedName_MSW05	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	TotalPrevalence	Citation	HostCorrectedName	CoatReflectance	CortisolLevels
Aotus vociferans	Blastocystis hominis	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Aotus_vociferans	0.167968863897063	0.321363270763195
Cebus albifrons	Blastocystis hominis	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Cebus_albifrons	0.305305061536621	0.0212436525497452
Cebus apella	Blastocystis hominis	Tampobata Research Center	-69.2	-12.7	2	2	0.1	Phillips et al. 2004	Cebus_apella	1.0418182285144	1.04090541852605
Saguinus fuscicollis	Blastocystis hominis	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Saguinus_fuscicollis	1.62810444632443	0.937435364999818
Saimiri sciureus	Blastocystis hominis	Tampobata Research Center	-69.2	-12.7	2	2	0.056	Phillips et al. 2004	Saimiri_sciureus	0.132111032093988	2.02752997299677
Pan troglodytes	Blastocystis sp.	Ngogo	30.425	0.45	1	1	0.027	Muehlenbein 2005	Pan_troglodytes	0.264943340940926	0.575313289052001
Alouatta pigra	Blastocystis sp.	Biosfera Montes Azules	-90.94	16.13	1	2	0.65	Stoner and Gonzalez Di Pierro 2006	Alouatta_pigra	1.13783923677087	0.67916824354043
Pan troglodytes	Blastocystis sp.	Ngogo	30.425	0.45	1	1	0.027	Muehlenbein 2005	Pan_troglodytes	0.470536963260985	2.27859776784986
Alouatta pigra	Blastocystis sp.	Biosfera Montes Azules	-90.94	16.13	1	2	0	Stoner and Gonzalez Di Pierro 2006	Alouatta_pigra	1.67425786021418	0.621915409522614
Alouatta pigra	Blastocystis sp.	Biosfera Montes Azules	-90.94	16.13	1	2	0	Stoner and Gonzalez Di Pierro 2006	Alouatta_pigra	0.0982321394664076	0.261766689770483
Alouatta pigra	Blastocystis sp.	Biosfera Montes Azules	-90.94	16.13	1	2	0	Stoner and Gonzalez Di Pierro 2006	Alouatta_pigra	0.424839067670494	0.0845918058387914
Alouatta pigra	Blastocystis sp.	Biosfera Montes Azules	-90.94	16.13	1	2	0	Stoner and Gonzalez Di Pierro 2006	Alouatta_pigra	1.19232577655487	0.0576353940945559
Colobus vellerosus	Blastocystis sp.	Boabeng-Fiema Monkey Sanctuary	1.7	7.71667	2	2	0.375	Teichroeb et al. 2009	Colobus_vellerosus	1.83345507944435	0.35469080893313
Colobus vellerosus	Blastocystis sp.	Boabeng-Fiema Monkey Sanctuary	1.7	7.71667	2	2	0.3	Teichroeb et al. 2009	Colobus_vellerosus	0.769597062293679	0.21984113346445
Lophocebus albigena	Blastocystis sp.	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Lophocebus_albigena	0.976736907990975	1.43919810565417
Cercopithecus ascanius	Blastocystis sp.	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Cercopithecus_ascanius	0.80761677707251	0.050671714261357
Colobus guereza	Blastocystis sp.	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Colobus_guereza	0.747313245075445	1.14186035477311
Cercopithecus mitis	Blastocystis sp.	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Cercopithecus_mitis	0.466119191541347	0.251446315346235
Macaca fascicularis	Bordetella bronchiseptica	Carey Island	101.36	2.86	2	2	0	Graves and Shah 1972	Macaca_fascicularis	0.121018878208135	0.711946739408388
Macaca mulatta	Bordetella bronchiseptica	Uttar Pradesh	80	28	2	3	0	Graves and Shah 1972	Macaca_mulatta	0.267162704973213	0.0840957020895713
Trachypithecus cristatus	Bordetella bronchiseptica	Carey Island	101.36	2.86	2	2	0	Graves and Shah 1972	Trachypithecus_cristatus	0.387721640627876	1.38339163013161
Macaca fascicularis	Bordetella bronchiseptica	Carey Island	101.36	2.86	2	2	0	Graves and Shah 1972	Macaca_fascicularis	0.43613495209528	0.494721280448218
Macaca mulatta	Bordetella bronchiseptica	Uttar Pradesh	80	28	2	3	0	Graves and Shah 1972	Macaca_mulatta	0.760246261272662	0.704369855579872
Trachypithecus cristatus	Bordetella bronchiseptica	Carey Island	101.36	2.86	2	2	0	Graves and Shah 1972	Trachypithecus_cristatus	1.41398945668672	1.00000430574189
Macaca fascicularis	Bordetella bronchiseptica	Carey Island	101.36	2.86	2	2	0	Graves and Shah 1972	Macaca_fascicularis	0.0273727308477651	0.136049905327638
Macaca mulatta	Bordetella bronchiseptica	Uttar Pradesh	80	28	2	3	0	Graves and Shah 1972	Macaca_mulatta	1.90012973442711	0.143143899657252
Saimiri oerstedii	Borrelia recurrentis	PANAMA	-80	9	2	3	0	Dunn 1968	Saimiri_oerstedii	0.0721630901460799	1.16298463789049
Saguinus geoffroyi	Borrelia recurrentis	PANAMA	-80	9	2	3	0.06	Dunn 1968	Saguinus_geoffroyi	1.08305048320578	0.0607748046612515
Saguinus geoffroyi	Borrelia recurrentis	PANAMA	-80	9	2	3	NA	Dunn 1968	Saguinus_geoffroyi	0.00160586788193253	0.169431720316844
Papio anubis	Mycobacterium bovis	Masai Mara	34.91	-1.41	2	2	NA	Sapolsky and Share 2004	Papio_anubis	0.314969628684773	2.00146705579452
Papio anubis	Mycobacterium bovis	Masai Mara	34.91	-1.41	2	2	0.46	Sapolsky and Share 2004	Papio_anubis	0.741388143240629	1.70320563833554
Trachypithecus cristatus	Breinlia sp.	Tanah Intan	115.03	-3.33	1	2	0.01	Palmieri et al. 1980a	Trachypithecus_cristatus	0.134120192870588	0.428944476648851
Trachypithecus cristatus	Breinlia sp.	Tanah Intan	115.03	-3.33	1	2	0	Palmieri et al. 1980a	Trachypithecus_cristatus	0.828751547754475	0.0803315589630724
Trachypithecus cristatus	Breinlia sp.	Tanah Intan	115.03	-3.33	1	2	0.02	Palmieri et al. 1980a	Trachypithecus_cristatus	0.66290517296694	0.0268754755801655
Callithrix penicillata	Brucella abortus	Bahia	-42	-12	2	2	0	Ricciardi et al. 1976	Callithrix_penicillata	2.4309856724928	0.501852035908229
Papio ursinus	Brucella sp.	Kruger	31.5	-23.83	2	2	0	de Vos et al. 1973	Papio_ursinus	1.69362827163054	0.0646344325844343
Trachypithecus cristatus	Brugia malayi	Tanah Intan	115.03	-3.33	1	2	NA	Masbar et al. 1981	Trachypithecus_cristatus	0.955231597204077	1.10900616531378
Hylobates lar	Brugia malayi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Hylobates_lar	0.589805113252443	0.389899629165727
Macaca fascicularis	Brugia malayi	Pahang	102.75	3.5	2	3	0.03	Laing et al. 1960	Macaca_fascicularis	1.29221009951982	0.00165212895328188
Macaca nemestrina	Brugia malayi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Macaca_nemestrina	0.219383629630258	0.545039120330407
Nycticebus coucang	Brugia malayi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Nycticebus_coucang	2.22622617302098	0.169421865778973
Trachypithecus obscurus	Brugia malayi	Pahang	102.75	3.5	2	3	0.76	Laing et al. 1960	Trachypithecus_obscurus	1.03119636540604	0.158327592130011
Macaca fascicularis	Brugia malayi	Taiping	100.73	4.85	2	2	0	Mak 1982	Macaca_fascicularis	0.745665991937603	0.377236754118985
Trachypithecus cristatus	Brugia malayi	Taiping	100.73	4.85	2	2	0.62	Mak 1982	Trachypithecus_cristatus	0.0855641675019354	0.849832136604096
Presbytis melalophos	Brugia malayi	Taiping	100.73	4.85	2	2	0.73	Mak 1982	Presbytis_melalophos	0.827569280887904	0.222348693764547
Trachypithecus obscurus	Brugia malayi	Taiping	100.73	4.85	2	2	0.81	Mak 1982	Trachypithecus_obscurus	1.38052678149624	0.962655101512181
Macaca fascicularis	Brugia malayi	Malay Peninsula	102	6	2	2	0.027	Mak 1984	Macaca_fascicularis	1.17904454030009	0.794042680143476
Trachypithecus cristatus	Brugia malayi	Malay Peninsula	102	6	2	2	0.53	Mak 1984	Trachypithecus_cristatus	1.15767290443583	0.264046464496436
Presbytis melalophos	Brugia malayi	Malay Peninsula	102	6	2	2	0.59	Mak 1984	Presbytis_melalophos	0.259817487982138	0.960703714230317
Trachypithecus obscurus	Brugia malayi	Malay Peninsula	102	6	2	2	0.71	Mak 1984	Trachypithecus_obscurus	0.0668519507878534	0.36330766274532
Macaca mulatta	Brugia malayi	Chittagong	91.8	22.36	2	2	0.07	Sandosham et al. 1962	Macaca_mulatta	0.738387644579806	0.805451330460148
Trachypithecus cristatus	Brugia pahangi	Tanah Intan	115.03	-3.33	1	2	NA	Masbar et al. 1981	Trachypithecus_cristatus	0.801373727790859	0.0490279107025787
Hylobates lar	Brugia pahangi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Hylobates_lar	1.26615150107641	1.66183125642243
Macaca fascicularis	Brugia pahangi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Macaca_fascicularis	0.202775826076513	0.276589945535977
Macaca nemestrina	Brugia pahangi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Macaca_nemestrina	2.11630447399434	1.38769581626566
Nycticebus coucang	Brugia pahangi	Pahang	102.75	3.5	2	3	0.32	Laing et al. 1960	Nycticebus_coucang	0.840260437037763	0.346378613741168
Trachypithecus obscurus	Brugia pahangi	Pahang	102.75	3.5	2	3	0	Laing et al. 1960	Trachypithecus_obscurus	1.35401665545457	0.777997141004802
Trachypithecus cristatus	Brugia pahangi	Tanah Intan	115.03	-3.33	1	2	NA	Palmieri et al. 1985	Trachypithecus_cristatus	0.044021550057744	0.538862649114774
Trachypithecus cristatus	Brugia sp.	Tanah Intan	115.03	-3.33	1	2	0.31	Palmieri et al. 1980a	Trachypithecus_cristatus	1.3316790513185	0.158471386687318
Trachypithecus cristatus	Brugia sp.	Tanah Intan	115.03	-3.33	1	2	0.4	Palmieri et al. 1980a	Trachypithecus_cristatus	0.551808610714906	0.688771012007533
Trachypithecus cristatus	Brugia sp.	Tanah Intan	115.03	-3.33	1	2	0.28	Palmieri et al. 1980a	Trachypithecus_cristatus	0.740510714553809	1.72024463475492
Ateles fusciceps	Buckleyenterobius sp.	PANAMA	-80	9	2	3	NA	National Parasite Collection (WWW)	Ateles_fusciceps	0.265226397097742	1.2657028387514
Colobus guereza	Orthobunyavirus Bunyamwera	Semliki	30.06	0.81	2	2	0.5	Haddow 1951	Colobus_guereza	0.393286495998633	0.936327678451783
Cercopithecus ascanius	Orthobunyavirus Bunyamwera	Semliki	30.06	0.81	2	2	0	Haddow 1951	Cercopithecus_ascanius	1.19734879006271	0.786072785899677
Macaca sinica	Orthobunyavirus Bunyamwera	Polonnaruwa	81	7.93	2	2	0.009	Peiris et al. 1993	Macaca_sinica	0.159418328522013	1.46448295366883
Macaca sinica	California encephalitis virus	Polonnaruwa	81	7.93	2	2	0.12	Peiris et al. 1993	Macaca_sinica	0.303583496072708	1.58321715907802
Macaca sinica	California encephalitis virus	Polonnaruwa	81	7.93	2	2	0	Peiris et al. 1993	Macaca_sinica	2.32161635098427	0.568511356447672
Macaca sinica	California encephalitis virus	Polonnaruwa	81	7.93	2	2	0.08	Peiris et al. 1993	Macaca_sinica	1.14083121306161	0.659357584823283
Macaca sinica	California encephalitis virus	Polonnaruwa	81	7.93	2	2	0	Peiris et al. 1993	Macaca_sinica	1.9084095077762	0.0491917195952791
Alouatta palliata	Flavivirus Bussuquara	Cerro Cana	-81.83	8.41	2	2	0	Galindo and Srihongse 1967	Alouatta_palliata	0.502875876423731	0.432945981758483
Alouatta palliata	Flavivirus Bussuquara	Maje	-78.58	8.66	2	2	0	Seymour et al. 1983	Alouatta_palliata	0.467587760191259	0.163499204107636
Aotus trivirgatus	Flavivirus Bussuquara	Maje	-78.58	8.66	2	2	0	Seymour et al. 1983	Aotus_trivirgatus	0.58323960282966	1.04079121089448
Cebus capucinus	Flavivirus Bussuquara	Maje	-78.58	8.66	2	2	0	Seymour et al. 1983	Cebus_capucinus	0.734632015371062	0.313452861839822
Saguinus geoffroyi	Flavivirus Bussuquara	Maje	-78.58	8.66	2	2	0	Seymour et al. 1983	Saguinus_geoffroyi	1.18247204106755	1.10196395022396
Colobus guereza	Orthobunyavirus Bwamba	Bwindi	29.7	-1.05	2	2	0	Haddow 1951	Colobus_guereza	0.366231092667521	1.53587839015425
Cercopithecus ascanius	Orthobunyavirus Bwamba	Semliki	30.06	0.81	2	2	0.136	Haddow 1951	Cercopithecus_ascanius	0.393455155239819	0.26992166892568
Eulemur fulvus	Callistoura blanci	Ampijoroa	47.2	-16.21	2	2	NA	Chabaud et al. 1965	Eulemur_fulvus	1.38243658617339	1.05329530852498
Indri indri	Callistoura blanci	Ambatondrazaka	48.41	-17.83	2	2	NA	Chabaud et al. 1965	Indri_indri	0.647396998920521	0.0500662169171823
Eulemur macaco	Callistoura brygooi	Nosy Be	48.25	-13.33	2	2	NA	Chabaud et al. 1965	Eulemur_macaco	0.123590991701264	1.85374327542301
Indri indri	Callistoura brygooi	Ambatondrazaka	48.41	-17.83	2	2	NA	Chabaud et al. 1965	Indri_indri	0.0316511114345013	1.9530897360202
Eulemur macaco	Callistoura sp.	Ankarafa	46.8	-16.31	2	2	0.042	Schwitzer et al. 2010	Eulemur_macaco	1.7772966062523	0.0758033229137219
Eulemur macaco	Callistoura sp.	Ankarafa	46.8	-16.31	2	2	0.042	Schwitzer et al. 2010	Eulemur_macaco	0.0289245838877054	0.595693839528832
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	1	Clough 2010	Eulemur_rufus	2.80723491344012	1.02493382587582
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	1	Clough et al. 2010	Eulemur_rufus	1.2491799231582	1.10295019793016
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	1	Clough et al. 2010	Eulemur_rufus	0.0106567842195346	1.06791853429442
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	0.14	Clough 2010	Eulemur_rufus	0.631419763989325	0.429878382189345
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	0.12	Clough et al. 2010	Eulemur_rufus	1.02237917323049	0.286196841395337
Eulemur rufus	Callistoura sp.	Kirindy	44.22	-20.15	2	2	0.04	Clough et al. 2010	Eulemur_rufus	0.459384920547873	0.0874712207215951
Eulemur macaco	Callistoura sp.	Lokobe	48.3	-13.42	2	2	0.3	Junge and Louis 2007	Eulemur_macaco	1.11144536647265	0.0923168585638758
Gorilla beringei	Capillaria hepatica	Parc Natl Volcans	29.5	-1.5	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	0.0510414898369286	0.977577775183518
Gorilla beringei	Campylobacter sp.	Bwindi	29.7	-1.05	2	2	0	Kalema-Zikusoka et al. 2005	Gorilla_beringei	0.488454134731577	0.0854704287376126
Gorilla beringei	Campylobacter sp.	Bwindi	29.7	-1.05	2	2	1	Kalema-Zikusoka et al. 2005	Gorilla_beringei	1.33916407103176	1.39336440526712
Gorilla beringei	Campylobacter jejuni	Parc Natl Volcans	29.5	-1.5	2	2	0.115	Whittier et al. 2010	Gorilla_beringei	1.81057236673479	0.168658702397992
Gorilla beringei	Campylobacter jejuni	Parc Natl Volcans	29.5	-1.5	2	2	0.026	Whittier et al. 2010	Gorilla_beringei	1.71996339729758	0.949291478196233
Gorilla beringei	Campylobacter sp.	Bwindi	29.7	-1.05	2	2	0.182	Nizeyi et al. 2001	Gorilla_beringei	1.20993610210536	1.20233771653206
Gorilla beringei	Campylobacter sp.	Mgahinga	29.63	-1.38	2	2	0.286	Nizeyi et al. 2001	Gorilla_beringei	0.472169704430157	0.589904851025865
Gorilla beringei	Campylobacter sp.	Bwindi	29.7	-1.05	2	2	NA	Kalema 1995	Gorilla_beringei	0.768348955099029	1.54656346568726
Gorilla beringei	Capillaria hepatica	Parc Natl Volcans	29.5	-1.5	2	2	NA	Graczyk et al. 1999	Gorilla_beringei	0.970338813445852	1.15854281343555
Gorilla beringei	Capillaria hepatica	Parc Natl Volcans	29.5	-1.5	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	0.590815035152285	1.73660138026811
Pan paniscus	Capillaria sp.	Wamba	22.46	0.18	2	2	0.21	Hasegawa et al. 1983	Pan_paniscus	0.971075023084213	0.478210161897526
Cercopithecus ascanius	Capillaria sp.	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_ascanius	1.30307317539744	0.134444547111531
Cercopithecus mitis	Capillaria sp.	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_mitis	0.724289501780428	0.797043095944006
Cercopithecus lhoesti	Capillaria sp.	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_lhoesti	0.00879454896997657	1.31977994999962
Chlorocebus aethiops	Capillaria sp.	Lake Saka	30.2	0.7	2	2	0	Gillespie et al. 2004	Chlorocebus_aethiops	0.954992469100338	1.70638155023657
Cercocebus galeritus	Capillaria sp.	Tana River	40.1464	-1.869	2	2	0.103	Mbora and McPeek 2009	Cercocebus_galeritus	0.542105580676874	0.408757773697391
Microcebus murinus	Capillaria sp.	Mandena	46.995	-24.948	2	2	0.01	Raharivololona et al. 2007	Microcebus_murinus	0.728547273146714	0.820293569333327
Microcebus murinus	Capillaria sp.	Mandena	46.995	-24.948	2	2	0.01	Raharivololona 2006	Microcebus_murinus	0.0857993858272261	1.19527766555549
Trachypithecus cristatus	Cardiofilaria darwisi	Tanah Intan	115.03	-3.33	1	2	NA	National Parasite Collection (WWW)	Trachypithecus_cristatus	0.0311008582431526	1.54102058456353
Trachypithecus cristatus	Cardiofilaria sp.	Tanah Intan	115.03	-3.33	1	2	0.01	Masbar et al. 1981	Trachypithecus_cristatus	0.28461609548897	0.398275526731965
Macaca sylvanus	Simplexvirus Herpes simplex virus 1	Gibraltar	-5.6	35.95	2	2	0	Engel et al. 2008	Macaca_sylvanus	1.14449439254697	1.5769994128411
Macaca sylvanus	Simplexvirus Herpes simplex virus 1	Gibraltar	-5.6	35.95	2	2	0	Engel et al. 2008	Macaca_sylvanus	0.742363034165511	0.980580993239904
Macaca sylvanus	Simplexvirus Herpes simplex virus 1	Gibraltar	-5.6	35.95	2	2	0	Engel et al. 2008	Macaca_sylvanus	0.299585336361998	0.984516151938157
Macaca sylvanus	Simplexvirus Herpes simplex virus 1	Gibraltar	-5.6	35.95	2	2	0	Engel et al. 2008	Macaca_sylvanus	0.126697067070689	0.408366203090412
Macaca sylvanus	Simplexvirus Herpes simplex virus 1	Gibraltar	-5.6	35.95	2	2	0	Engel et al. 2008	Macaca_sylvanus	0.167852287486727	0.603650841076203
Papio cynocephalus	Cercopithifilaria kenyensis	Kibwezi	37.96	-2.41	2	2	NA	Bain et al. 1988	Papio_cynocephalus	0.749145239847134	1.33095691432564
Papio anubis	Cercopithifilaria narokensis	Narok	35.86	-1.08	2	2	NA	Bain et al. 1988	Papio_anubis	0.135149189102323	0.129382595225408
Chlorocebus aethiops	Cercopithifilaria verveti	Thika	37.08	-1.08	2	2	NA	Bain et al. 1989	Chlorocebus_aethiops	0.457499987123712	0.340240118688573
Macaca sinica	Vesiculovirus Vesicular stomatitis virus sp.	Polonnaruwa	81	7.93	2	2	0.017	Peiris et al. 1993	Macaca_sinica	1.23195308498814	0.7623114478639
Cheirogaleus medius	Cheirogalalges evansi	Fort Dauphin	47	-25.03	2	2	NA	Fain 1963	Cheirogaleus_medius	0.562660242085341	2.30947603596305
Pongo pygmaeus	Alphavirus Chikungunya	Eastern Sabah	117	5.5	2	3	0	Wolfe et al. 2001	Pongo_pygmaeus	0.990605637801048	0.923004501269467
Pongo pygmaeus	Alphavirus Chikungunya	Sabah	117	5.5	2	3	0	Kilbourn et al. 2003	Pongo_pygmaeus	0.0816228263168728	0.0593361987579318
Macaca mulatta	Alphavirus Chikungunya	Yunnan, China	102	25	2	3	0.025	Zhang et al. 1989	Macaca_mulatta	0.539954405339248	0.611548651792194
Macaca mulatta	Alphavirus Chikungunya	Uttar Pradesh	80	28	2	3	0	Shah and Southwick 1965	Macaca_mulatta	0.878354838551557	2.1257185670653
Macaca mulatta	Alphavirus Chikungunya	Uttar Pradesh	80	28	2	3	0	Shah and Southwick 1965	Macaca_mulatta	0.341784018860106	0.281303817573692
Macaca mulatta	Alphavirus Chikungunya	Uttar Pradesh	80	28	2	3	0	Shah and Southwick 1965	Macaca_mulatta	0.448276812981714	0.708114763974984
Gorilla gorilla	Chilomastix mesnili	Lope	11.66	-0.5	2	2	0	Landsoud-Soukate et al. 1995	Gorilla_gorilla	0.324905829891929	0.96023830707277
Papio anubis	Chilomastix mesnili	Kilifi	39.85	-3.63	2	2	0	Myers and Kuntz 1968	Papio_anubis	1.72008743261565	0.537264511231483
Papio anubis	Chilomastix mesnili	Mau Norak	36	-0.6	2	2	0	Myers and Kuntz 1968	Papio_anubis	2.13243604623473	0.0240552172071665
Papio ursinus	Chilomastix mesnili	Kuiseb River	15.03	-23.55	2	2	0.62	Appleton and Brain 1995	Papio_ursinus	0.146829047446027	0.319494423020146
Papio ursinus	Chilomastix mesnili	Giant's Castle	29.48	-29.23	2	2	0.13	Appleton et al. 1986	Papio_ursinus	0.00469986010076234	2.2385344098172
Lophocebus albigena	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Freeland 1979	Lophocebus_albigena	0.591991146520119	1.38426642708843
Cercopithecus mitis	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Freeland 1979	Cercopithecus_mitis	0.457766303463956	1.18669622237239
Papio anubis	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Freeland 1979	Papio_anubis	0.0927551028256678	0.0492232207365145
Papio cynocephalus	Chilomastix mesnili	Rift Valley	36	0.5	2	2	0.01	Kuntz and Moore 1973	Papio_cynocephalus	0.155091530172414	1.17271464346259
Pan troglodytes	Chilomastix mesnili	Lope	11.66	-0.5	2	2	0.03	Landsoud-Soukate et al. 1995	Pan_troglodytes	0.761623173126412	0.638474714019257
Cercocebus galeritus	Chilomastix mesnili	Dzanga-Ndoki	16.26	2.36	1	1	0	Lilly et al. 2002	Cercocebus_galeritus	0.314778286811517	0.145341177055865
Gorilla gorilla	Chilomastix mesnili	Dzanga-Ndoki	16.26	2.36	1	1	0	Lilly et al. 2002	Gorilla_gorilla	0.246764365440561	1.4042652821062
Pan troglodytes	Chilomastix mesnili	Dzanga-Ndoki	16.26	2.36	1	1	0	Lilly et al. 2002	Pan_troglodytes	0.0284241195726803	1.52972479393625
Papio anubis	Chilomastix mesnili	Kimani	37.08	-2.13	1	1	0	Myers and Kuntz 1968	Papio_anubis	0.0531964539172348	0.170002202456838
Cercopithecus ascanius	Chilomastix mesnili	Kibale	30.41	0.45	1	1	0.08	Gillespie et al. 2005b	Cercopithecus_ascanius	2.98468473928516	0.591615701733793
Cercopithecus ascanius	Chilomastix mesnili	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2005b	Cercopithecus_ascanius	0.405359886049215	2.6594938371821
Papio ursinus	Chilomastix mesnili	Transvaal	29.75	-25	3	2	0.042	Goldsmid and Rogers 1978	Papio_ursinus	0.515536467106265	0.210752896249628
Gorilla beringei	Chilomastix mesnili	Parc Natl Volcans	29.5	-1.5	2	2	0.443	Rothman and Bowman 2003	Gorilla_beringei	0.50985826357373	1.0465681523374
Pan troglodytes	Chilomastix mesnili	Fongoli	-12.2	12.683	2	2	0	Howells et al. 2010	Pan_troglodytes	0.242118021306068	0.100133027505004
Papio papio	Chilomastix mesnili	Fongoli	-12.2	12.683	2	2	0.294	Howells et al. 2010	Papio_papio	0.669405795509156	0.108281651093594
Alouatta seniculus	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0.063	Phillips et al. 2004	Alouatta_seniculus	0.803632279679246	2.11342585649473
Aotus vociferans	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Aotus_vociferans	0.447366876532255	2.46423450496133
Cebus albifrons	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0.09	Phillips et al. 2004	Cebus_albifrons	0.637381973181915	0.900896111799613
Cebus apella	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Cebus_apella	0.607053320008936	0.153010894372912
Saguinus fuscicollis	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0	Phillips et al. 2004	Saguinus_fuscicollis	1.34859399158202	0.399358976084728
Saimiri sciureus	Chilomastix mesnili	Tampobata Research Center	-69.2	-12.7	2	2	0.111	Phillips et al. 2004	Saimiri_sciureus	0.478156430936003	0.0913602801150406
Lophocebus albigena	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Lophocebus_albigena	0.120534164826447	1.86793143638885
Cercopithecus ascanius	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Cercopithecus_ascanius	1.23272233433984	0.328278726939555
Colobus guereza	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Colobus_guereza	0.393291125101181	0.841227177521192
Cercopithecus mitis	Chilomastix mesnili	Kibale	30.41	0.45	1	1	NA	Chapman et al. 2012	Cercopithecus_mitis	0.27591701452193	0.0641104736222112
Gorilla beringei	Chilomastix sp.	Parc Natl Volcans	29.5	-1.5	2	2	0.44	Sleeman et al. 2000	Gorilla_beringei	0.356473545357235	0.325949629915496
Alouatta palliata	Chilomastix sp.	PANAMA	-80	9	2	3	0.12	Stuart et al. 1998	Alouatta_palliata	0.446873301358022	0.445044846438146
Pongo abelii	Chilomastix sp.	Ketambe	97.65	3.68	1	1	0.125	Mul et al. 2007	Pongo_abelii	0.114228341566289	0.0602687510462189
Pongo abelii	Chilomastix sp.	Ketambe	97.65	3.68	1	1	0	Mul et al. 2007	Pongo_abelii	1.17495255098087	0.578542048144482
Pongo abelii	Chilomastix sp.	Ketambe	97.65	3.68	1	1	0.211	Mul et al. 2007	Pongo_abelii	1.97267718405752	0.417486237835743
Macaca sinica	Chilomastix sp.	Polonnaruwa	81	7.93	2	2	0.17	Ekanayake et al. 2006	Macaca_sinica	1.00478141666246	0.37186593211807
Macaca sinica	Chilomastix sp.	Polonnaruwa	81	7.93	2	2	0.07	Ekanayake et al. 2006	Macaca_sinica	0.189225171580166	0.827843543265576
Macaca sinica	Chilomastix sp.	Polonnaruwa	81	7.93	2	2	0.06	Ekanayake et al. 2006	Macaca_sinica	1.09780200319957	1.89237004999679
Macaca sinica	Chilomastix sp.	Polonnaruwa	81	7.93	2	2	0.19	Ekanayake et al. 2006	Macaca_sinica	0.423766393447543	0.565962622182243
Macaca sinica	Chilomastix sp.	Polonnaruwa	81	7.93	2	2	0.124	Ekanayake et al. 2006	Macaca_sinica	1.15334509329554	0.167254145076171
Pongo pygmaeus	Cytomegalovirus Pongine herpesvirus 4	Sabah	117	5.5	2	3	0	Kilbourn et al. 2003	Pongo_pygmaeus	0.300273771787782	1.02401320082779
Gorilla beringei	Chitwoodspirura sp.	Parc Natl Volcans	29.5	-1.5	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	1.27666463258486	1.90634398167104
Macaca mulatta	Simplexvirus Cercopithecine herpesvirus 1	Swoyambhu	85.3	27.7	2	2	0.641	Jones-Engel et al. 2006	Macaca_mulatta	0.245884005578651	0.383365960490167
Macaca mulatta	Simplexvirus Cercopithecine herpesvirus 1	Swoyambhu	85.3	27.7	2	2	0.647	Jones-Engel et al. 2006	Macaca_mulatta	2.25974866011336	1.13270387286203
Macaca mulatta	Simplexvirus Cercopithecine herpesvirus 1	Swoyambhu	85.3	27.7	2	2	0.636	Jones-Engel et al. 2006	Macaca_mulatta	0.327434805418867	0.631426220901426
